date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:29	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2011%20Sep%202022%2012:21:29%20GMT	https://www.recapafteruse.co.uk/robots.txt		(from )
17:51:29	40198/40198	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2012:21:29%20GMT	https://www.recapafteruse.co.uk/	C:/My%20Web%20Sites/new/www.recapafteruse.co.uk/index.html	(from )
17:51:30	82154/82154	---M-Z	200	added ('OK')	text/css	etag:%222c44a7b6a004da5b5cf1c30207281136%22	https://uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/css/recap-after-use.webflow.d365f779c.min.css	C:/My%20Web%20Sites/new/uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/css/recap-after-use.webflow.d365f779c.min.css	(from https://www.recapafteruse.co.uk/)
17:51:30	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/new/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.recapafteruse.co.uk/)
17:51:31	590/590	---M--	200	added ('OK')	image/png	etag:%2218ec08532a603ceed6b1f6132d7a20fd%22	https://uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c83b9cfaf626269aa103194_fav-icon-slant.png	C:/My%20Web%20Sites/new/uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c83b9cfaf626269aa103194_fav-icon-slant.png	(from https://www.recapafteruse.co.uk/)
17:51:31	2530/2530	---M--	200	added ('OK')	image/png	etag:%22c6e31457eb0583d9649d99cb24471b3b%22	https://uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c810d79f2a0f7bd3837a0e1_web-clip.png	C:/My%20Web%20Sites/new/uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c810d79f2a0f7bd3837a0e1_web-clip.png	(from https://www.recapafteruse.co.uk/)
17:51:31	850/850	---MC-	200	added ('OK')	text/javascript	date:Sun,%2011%20Sep%202022%2012:21:31%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/new/www.google.com/recaptcha/api.js	(from https://www.recapafteruse.co.uk/)
17:51:32	8006/8006	---M--	200	added ('OK')	image/png	etag:%2243481700594828b630cc69a5e78e7bb7%22	https://uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c8057df4f71c1e19f5e15a6_pen-1-2%403x.png	C:/My%20Web%20Sites/new/uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c8057df4f71c1e19f5e15a6_pen-1-2@3x.png	(from https://www.recapafteruse.co.uk/)
17:51:32	12444/12444	---M--	200	added ('OK')	image/png	etag:%228d45ff1883d7a63435a04a9a6c324a23%22	https://uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c81317bb78f130f5aaa4789_pen-1-1%403x.png	C:/My%20Web%20Sites/new/uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/5c81317bb78f130f5aaa4789_pen-1-1@3x.png	(from https://www.recapafteruse.co.uk/)
17:51:32	66213/66213	---M--	200	added ('OK')	image/jpeg	etag:%22184be9ffc30b49f8ffd598405261a483%22	https://uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/621d18b8d473f29bd5923aef_DSCF4876-edit-3-500.jpg	C:/My%20Web%20Sites/new/uploads-ssl.webflow.com/5c3a6378e76e088403f168d4/621d18b8d473f29bd5923aef_DSCF4876-edit-3-500.jpg	(from https://www.recapafteruse.co.uk/)
